timestamp,device,energy_kwh,temperature,occupancy
2025-01-01 00:00:00,Air Conditioner,0.4126,14.4,0
2025-01-01 00:00:00,Refrigerator,0.193,14.4,0
2025-01-01 00:00:00,Lighting,0.1393,14.4,0
2025-01-01 00:00:00,Electric Heater,0.8863,14.4,0
2025-01-01 00:00:00,Computer,0.0107,14.4,0
2025-01-01 01:00:00,Air Conditioner,0.4063,15.1,0
2025-01-01 01:00:00,Refrigerator,0.2045,15.1,0
2025-01-01 01:00:00,Lighting,0.0142,15.1,0
2025-01-01 01:00:00,Electric Heater,0.8047,15.1,0
2025-01-01 01:00:00,Computer,0.0133,15.1,0
2025-01-01 02:00:00,Air Conditioner,0.4133,18.5,1
2025-01-01 02:00:00,Refrigerator,0.253,18.5,1
2025-01-01 02:00:00,Lighting,0.3187,18.5,1
2025-01-01 02:00:00,Electric Heater,0.6089,18.5,1
2025-01-01 02:00:00,Computer,0.2565,18.5,1
2025-01-01 03:00:00,Air Conditioner,0.3847,15.9,0
2025-01-01 03:00:00,Refrigerator,0.2546,15.9,0
2025-01-01 03:00:00,Lighting,0.164,15.9,0
2025-01-01 03:00:00,Electric Heater,0.8949,15.9,0
2025-01-01 03:00:00,Computer,0.0124,15.9,0
2025-01-01 04:00:00,Air Conditioner,0.3432,18.0,0
2025-01-01 04:00:00,Refrigerator,0.2206,18.0,0
2025-01-01 04:00:00,Lighting,0.1307,18.0,0
2025-01-01 04:00:00,Electric Heater,0.7224,18.0,0
2025-01-01 04:00:00,Computer,0.1388,18.0,0
2025-01-01 05:00:00,Air Conditioner,0.4096,18.3,0
2025-01-01 05:00:00,Refrigerator,0.2357,18.3,0
2025-01-01 05:00:00,Lighting,0.015,18.3,0
2025-01-01 05:00:00,Electric Heater,0.7897,18.3,0
2025-01-01 05:00:00,Computer,0.0119,18.3,0
2025-01-01 06:00:00,Air Conditioner,0.4031,17.9,1
2025-01-01 06:00:00,Refrigerator,0.2477,17.9,1
2025-01-01 06:00:00,Lighting,0.344,17.9,1
2025-01-01 06:00:00,Electric Heater,0.6343,17.9,1
2025-01-01 06:00:00,Computer,0.2292,17.9,1
2025-01-01 07:00:00,Air Conditioner,0.4298,18.5,0
2025-01-01 07:00:00,Refrigerator,0.2123,18.5,0
2025-01-01 07:00:00,Lighting,0.0141,18.5,0
2025-01-01 07:00:00,Electric Heater,0.6081,18.5,0
2025-01-01 07:00:00,Computer,0.0129,18.5,0
2025-01-01 08:00:00,Air Conditioner,0.4646,21.3,1
2025-01-01 08:00:00,Refrigerator,0.2373,21.3,1
2025-01-01 08:00:00,Lighting,0.2736,21.3,1
2025-01-01 08:00:00,Washing Machine,0.01,21.3,1
2025-01-01 08:00:00,Electric Heater,0.5319,21.3,1
2025-01-01 08:00:00,Computer,0.2238,21.3,1
2025-01-01 09:00:00,Air Conditioner,0.6221,20.3,0
2025-01-01 09:00:00,Refrigerator,0.2631,20.3,0
2025-01-01 09:00:00,Lighting,0.1643,20.3,0
2025-01-01 09:00:00,Electric Heater,0.8607,20.3,0
2025-01-01 09:00:00,Computer,0.0139,20.3,0
2025-01-01 10:00:00,Air Conditioner,6.0515,22.8,1
2025-01-01 10:00:00,Refrigerator,0.2835,22.8,1
2025-01-01 10:00:00,Lighting,0.3309,22.8,1
2025-01-01 10:00:00,Washing Machine,0.01,22.8,1
2025-01-01 10:00:00,Electric Heater,0.4893,22.8,1
2025-01-01 10:00:00,Computer,0.2699,22.8,1
2025-01-01 11:00:00,Air Conditioner,7.0188,23.6,1
2025-01-01 11:00:00,Refrigerator,0.2722,23.6,1
2025-01-01 11:00:00,Lighting,0.3197,23.6,1
2025-01-01 11:00:00,Electric Heater,0.4266,23.6,1
2025-01-01 11:00:00,Computer,1.0873,23.6,1
2025-01-01 12:00:00,Air Conditioner,5.1294,24.7,1
2025-01-01 12:00:00,Refrigerator,0.2632,24.7,1
2025-01-01 12:00:00,Lighting,0.2627,24.7,1
2025-01-01 12:00:00,Electric Heater,0.3496,24.7,1
2025-01-01 12:00:00,Computer,0.2744,24.7,1
2025-01-01 13:00:00,Air Conditioner,4.3961,24.5,1
2025-01-01 13:00:00,Refrigerator,0.2938,24.5,1
2025-01-01 13:00:00,Lighting,0.3284,24.5,1
2025-01-01 13:00:00,Electric Heater,0.2944,24.5,1
2025-01-01 13:00:00,Computer,0.2359,24.5,1
2025-01-01 14:00:00,Air Conditioner,5.0432,23.6,1
2025-01-01 14:00:00,Refrigerator,0.2506,23.6,1
2025-01-01 14:00:00,Lighting,0.2822,23.6,1
2025-01-01 14:00:00,Electric Heater,0.4224,23.6,1
2025-01-01 14:00:00,Computer,0.2363,23.6,1
2025-01-01 15:00:00,Air Conditioner,4.5173,23.8,1
2025-01-01 15:00:00,Refrigerator,0.6928,23.8,1
2025-01-01 15:00:00,Lighting,0.3022,23.8,1
2025-01-01 15:00:00,Electric Heater,0.3445,23.8,1
2025-01-01 15:00:00,Computer,0.2252,23.8,1
2025-01-01 16:00:00,Air Conditioner,3.8422,23.6,1
2025-01-01 16:00:00,Refrigerator,0.2661,23.6,1
2025-01-01 16:00:00,Lighting,0.3353,23.6,1
2025-01-01 16:00:00,Electric Heater,0.3325,23.6,1
2025-01-01 16:00:00,Computer,0.2693,23.6,1
2025-01-01 17:00:00,Air Conditioner,6.4315,23.9,1
2025-01-01 17:00:00,Refrigerator,0.254,23.9,1
2025-01-01 17:00:00,Lighting,0.394,23.9,1
2025-01-01 17:00:00,Electric Heater,0.5404,23.9,1
2025-01-01 17:00:00,Computer,0.2664,23.9,1
2025-01-01 18:00:00,Air Conditioner,6.2499,22.3,1
2025-01-01 18:00:00,Refrigerator,0.2289,22.3,1
2025-01-01 18:00:00,Lighting,0.3404,22.3,1
2025-01-01 18:00:00,Electric Heater,0.5439,22.3,1
2025-01-01 18:00:00,Computer,0.2614,22.3,1
2025-01-01 19:00:00,Air Conditioner,5.9457,23.6,1
2025-01-01 19:00:00,Refrigerator,0.2859,23.6,1
2025-01-01 19:00:00,Lighting,0.3725,23.6,1
2025-01-01 19:00:00,Electric Heater,0.4804,23.6,1
2025-01-01 19:00:00,Computer,0.2914,23.6,1
2025-01-01 20:00:00,Air Conditioner,0.548,20.2,1
2025-01-01 20:00:00,Refrigerator,0.2383,20.2,1
2025-01-01 20:00:00,Lighting,0.3161,20.2,1
2025-01-01 20:00:00,Electric Heater,0.8723,20.2,1
2025-01-01 20:00:00,Computer,0.3161,20.2,1
