timestamp,device,energy_kwh,temperature,occupancy
2025-01-01 00:00:00,Servers,15.762,19.9,5
2025-01-01 00:15:00,Lighting,0.468,21.0,0
2025-01-01 00:30:00,Machinery,0.0,27.8,2
2025-01-01 00:45:00,Workstations,0.569,21.6,0
2025-01-01 01:00:00,Workstations,0.911,23.0,3
2025-01-01 01:15:00,Servers,14.961,21.4,2
2025-01-01 01:30:00,Lighting,0.116,23.3,2
2025-01-01 01:45:00,Lighting,0.767,21.9,0
2025-01-01 02:00:00,Lighting,0.767,21.5,4
2025-01-01 02:15:00,Machinery,0.0,22.8,2
2025-01-01 02:30:00,Workstations,0.26,22.2,2
2025-01-01 02:45:00,Machinery,0.0,27.4,5
2025-01-01 03:00:00,Servers,12.78,22.0,4
2025-01-01 03:15:00,Servers,12.16,22.2,3
2025-01-01 03:30:00,Servers,15.207,20.7,3
2025-01-01 03:45:00,Servers,15.075,19.9,5
2025-01-01 04:00:00,Servers,12.947,22.5,0
2025-01-01 04:15:00,HVAC,5.533,15.3,1
2025-01-01 04:30:00,Machinery,0.0,26.3,3
2025-01-01 04:45:00,Machinery,0.0,25.8,5
2025-01-01 05:00:00,HVAC,3.714,19.9,2
2025-01-01 05:15:00,Machinery,0.0,24.6,5
2025-01-01 05:30:00,Workstations,0.862,23.4,0
2025-01-01 05:45:00,Workstations,0.689,21.9,0
2025-01-01 06:00:00,Workstations,0.478,20.9,0
2025-01-01 06:15:00,Machinery,0.0,25.3,0
2025-01-01 06:30:00,Workstations,0.173,22.6,1
2025-01-01 06:45:00,HVAC,7.989,15.2,5
2025-01-01 07:00:00,HVAC,6.948,19.8,3
2025-01-01 07:15:00,Workstations,0.917,21.2,4
2025-01-01 07:30:00,Lighting,0.716,22.0,0
2025-01-01 07:45:00,Workstations,0.433,20.9,4
2025-01-01 08:00:00,Machinery,28.534,24.5,62
2025-01-01 08:15:00,Lighting,3.275,23.0,109
2025-01-01 08:30:00,Servers,14.721,19.4,35
2025-01-01 08:45:00,Lighting,4.157,23.3,86
2025-01-01 09:00:00,Workstations,2.459,21.0,30
2025-01-01 09:15:00,Workstations,2.275,20.7,90
2025-01-01 09:30:00,Servers,15.638,20.1,140
2025-01-01 09:45:00,HVAC,10.241,24.7,36
2025-01-01 10:00:00,Servers,15.524,20.0,63
2025-01-01 10:15:00,Workstations,3.037,21.0,116
2025-01-01 10:30:00,Machinery,21.34,27.1,44
2025-01-01 10:45:00,Workstations,1.952,20.7,135
2025-01-01 11:00:00,Workstations,2.767,21.7,55
2025-01-01 11:15:00,Lighting,3.673,23.2,135
2025-01-01 11:30:00,Machinery,30.318,23.3,109
2025-01-01 11:45:00,Lighting,3.835,22.5,115
2025-01-01 12:00:00,HVAC,25.613,21.5,148
2025-01-01 12:15:00,Machinery,30.336,24.2,81
2025-01-01 12:30:00,HVAC,16.945,22.6,42
2025-01-01 12:45:00,Workstations,4.955,20.9,78
2025-01-01 13:00:00,Lighting,2.115,23.5,69
2025-01-01 13:15:00,Servers,14.762,21.8,90
2025-01-01 13:30:00,Workstations,4.49,23.4,108
2025-01-01 13:45:00,HVAC,25.962,20.2,52
2025-01-01 14:00:00,HVAC,25.917,20.5,38
2025-01-01 14:15:00,Lighting,2.774,21.5,110
2025-01-01 14:30:00,Workstations,2.563,21.9,63
